縣市,行政區,BUILD,平均單價元平方公尺,交易筆數
苗栗縣,頭份市,中古屋,51980.32,253
苗栗縣,頭份市,新成屋,59242.45,105
苗栗縣,頭屋鄉,中古屋,27688.67,3
金門縣,金城鎮,中古屋,49964.0,2
金門縣,金城鎮,新成屋,92065.0,2
金門縣,金寧鄉,中古屋,294.0,1
金門縣,金湖鎮,中古屋,68269.78,9
金門縣,金湖鎮,新成屋,73011.0,12
雲林縣,二崙鄉,中古屋,18847.33,3
雲林縣,二崙鄉,新成屋,36597.0,1
雲林縣,元長鄉,中古屋,32912.0,1
雲林縣,北港鎮,中古屋,40616.75,20
雲林縣,北港鎮,新成屋,65328.0,1
雲林縣,古坑鄉,中古屋,26780.25,4
雲林縣,古坑鄉,新成屋,60683.5,2
雲林縣,台西鄉,中古屋,16707.33,3
雲林縣,土庫鎮,中古屋,40092.5,6
雲林縣,土庫鎮,新成屋,36875.0,1
雲林縣,崙背鄉,中古屋,28604.67,3
雲林縣,斗六市,中古屋,28955.75,202
雲林縣,斗六市,新成屋,41859.67,15
雲林縣,斗南鎮,中古屋,36623.55,38
雲林縣,東勢鄉,中古屋,19129.75,4
雲林縣,林內鄉,中古屋,31552.33,3
雲林縣,水林鄉,中古屋,25590.0,2
雲林縣,莿桐鄉,中古屋,31829.86,7
雲林縣,虎尾鎮,中古屋,39804.64,81
雲林縣,虎尾鎮,新成屋,55779.68,19
雲林縣,褒忠鄉,中古屋,30068.0,3
雲林縣,西螺鎮,中古屋,38747.82,17
雲林縣,西螺鎮,新成屋,54623.67,3
雲林縣,麥寮鄉,中古屋,32876.0,11
高雄市,三民區,中古屋,48907.57,916
高雄市,三民區,新成屋,51157.59,135
高雄市,仁武區,中古屋,55608.96,179
高雄市,仁武區,新成屋,77465.32,165
高雄市,前金區,中古屋,39652.1,20
高雄市,前金區,新成屋,69361.0,10
高雄市,前鎮區,中古屋,50545.98,462
高雄市,前鎮區,新成屋,47126.27,106
高雄市,大寮區,中古屋,36921.35,235
高雄市,大寮區,新成屋,45792.6,20
高雄市,大樹區,中古屋,27489.14,21
高雄市,大樹區,新成屋,40436.5,2
高雄市,大社區,中古屋,37775.51,136
高雄市,大社區,新成屋,18304.82,11
高雄市,小港區,中古屋,38487.15,342
高雄市,小港區,新成屋,59237.52,31
高雄市,岡山區,中古屋,40308.99,183
高雄市,岡山區,新成屋,61982.1,10
高雄市,左營區,中古屋,52722.55,824
高雄市,左營區,新成屋,46343.44,134
高雄市,彌陀區,中古屋,28419.0,2
高雄市,新興區,中古屋,27910.0,4
高雄市,旗山區,中古屋,38907.5,8
高雄市,旗津區,中古屋,21947.0,5
高雄市,林園區,中古屋,25597.17,88
高雄市,林園區,新成屋,92805.0,4
高雄市,梓官區,中古屋,38156.67,6
高雄市,楠梓區,中古屋,46933.58,692
高雄市,楠梓區,新成屋,43053.45,168
高雄市,橋頭區,中古屋,61996.8,60
高雄市,橋頭區,新成屋,60441.49,93
高雄市,湖內區,中古屋,38547.65,43
高雄市,燕巢區,中古屋,49713.0,3
高雄市,燕巢區,新成屋,196.0,2
高雄市,甲仙區,中古屋,26650.0,1
高雄市,美濃區,中古屋,53936.5,8
高雄市,美濃區,新成屋,60211.0,1
高雄市,苓雅區,中古屋,52380.5,334
高雄市,苓雅區,新成屋,67643.62,72
高雄市,茄萣區,中古屋,28993.61,31
高雄市,路竹區,中古屋,52688.05,20
高雄市,路竹區,新成屋,78515.67,3
高雄市,阿蓮區,中古屋,28423.67,12
高雄市,鳥松區,中古屋,53445.31,100
高雄市,鳥松區,新成屋,90486.07,15
高雄市,鳳山區,中古屋,46755.48,1126
高雄市,鳳山區,新成屋,66448.6,191
高雄市,鹽埕區,中古屋,31923.0,14
高雄市,鼓山區,中古屋,58402.83,507
高雄市,鼓山區,新成屋,59237.11,38
